idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
10027,BOTA TESTE 38,F,1,1,1,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,ABRACADEIRA
10029,BOTA TESTE 40,F,1,1,1,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,ABRACADEIRA
10031,BOTA TESTE 42,F,1,1,1,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,ABRACADEIRA
10033,BOTA TESTE 44,F,1,1,1,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,ABRACADEIRA
10600,TESOURA P/CORTAR CHAPA N.3,F,1,1,42,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA
10602,TESOURA P/CORTAR CHAPA N.4,F,1,1,42,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA
10604,TESOURA P/CORTAR CHAPA N.5,F,1,1,42,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA
10128,CHUMBADORQ. BICOMPONENTEAMPOLA12MM KIT,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
11863,CHUMBADORQ. BICOMPONENTEAMPOLA16MM KIT,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10910,LUVA FIBRA SINTETICA FLEX CUT M9 - WURTH,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10120,LUVA FLEX TUFF 701014 M8,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
11233,LUVA NITRILICA LARANJA DIAMOND TAM.9,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10118,LUVA POLIEST LATEX CORRUGADA PRETA 9,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10122,LUVA POLIEST NITRIL CINZA 9,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10124,LUVA POLY PU BLACK 701026 GG10,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10402,LUVA PU PTA 8M,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
11103,LUVA PU PTA 9G,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
11105,"LUVA PVC C/F 27CM 9,5",F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
11107,"LUVA PVC C/F 35CM 9,5",F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
11109,"LUVA PVC C/F 45CM 9,5",F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10134,LUVA REDGRIP 08M,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10136,LUVA REDGRIP 10XG,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
11113,LUVA SAARA 09G,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10130,LUVA SOLDADOR MACIA BOXER,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
11115,LUVA SONORA T 09G - KALIPSO - USO EPI,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10132,LUVA TATEX BRANCA 1 LADO - KALIPSO,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10126,LUVA TATEX PRETA 1 LADO - KALIPSO,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10140,LUVA TRICOTADA BANHO PU 701008 P7,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
10138,LUVA TRICOTADA BANHO PU 701008/801008 M8,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
11111,LUVA TRICOTADA MESCLADA,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
11503,MS POLIMERO 40 BRANCO 230ML / 400G,F,1,1,65,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA
