idsubproduto,descricaoproduto
10027,BOTA TESTE 38
10600,TESOURA P/CORTAR CHAPA N.3
10128,CHUMBADORQ. BICOMPONENTEAMPOLA12MM KIT
11863,CHUMBADORQ. BICOMPONENTEAMPOLA16MM KIT
10910,LUVA FIBRA SINTETICA FLEX CUT M9 - WURTH
10120,LUVA FLEX TUFF 701014 M8
11233,LUVA NITRILICA LARANJA DIAMOND TAM.9
10118,LUVA POLIEST LATEX CORRUGADA PRETA 9
10122,LUVA POLIEST NITRIL CINZA 9
10124,LUVA POLY PU BLACK 701026 GG10
10402,LUVA PU PTA 8M
11105,"LUVA PVC C/F 27CM 9,5"
10134,LUVA REDGRIP 08M
10136,LUVA REDGRIP 10XG
11113,LUVA SAARA 09G
10130,LUVA SOLDADOR MACIA BOXER
11115,LUVA SONORA T 09G - KALIPSO - USO EPI
10132,LUVA TATEX BRANCA 1 LADO - KALIPSO
10140,LUVA TRICOTADA BANHO PU 701008 P7
10138,LUVA TRICOTADA BANHO PU 701008/801008 M8
11111,LUVA TRICOTADA MESCLADA
11503,MS POLIMERO 40 BRANCO 230ML / 400G
10112,AL  GRELHA 06 X 50 C/CANALETA
420,AL ANEL 1/2 *
3305,AL FLOREIRA RETANGULAR PEQUENA *
1335,AL GRELHA 10 X 100 POLIDA
641,AL LANCA FLOR DE LIZ 1/2'' *
642,AL LANCA FLOR DE LIZ 5/8'' *
643,AL LANCA SETA 1/2'' *
644,AL LANCA SETA 5/8'' *
5983,AL RALO SEMI ESFERICO ABACAXI 100MM
230,AL TAMPAO 50 X 50 ARTICULADO
1333,AL TAMPAO T 032 ARTICULADO
1334,AL TAMPAO T 042 ARTICULADO
1241,AL TAMPAO T250 ESGOTO
914,AL TAMPAO T33 ARTICULADO 54 X 45
1252,BOLA ALUMINIO 1/2 *
123134004,GRELHA ALUMINIO ESP 10 X 100 COSTA NAVARRO
10102,GRELHA COLETOR GALVAN 100X10
6129,RALO ALUMINIO ESP 15X15 COSTA NAVARRO
6130,RALO ALUMINIO ESP 20X20 COSTA NAVARRO MARTELADA
1257,TUCHO ALUMINIO 1/2 *
3013,BUCHA REDUCAO GALVANIZADA 1 X 3/4 *
3012,BUCHA REDUCAO GALVANIZADA 1.1/2 X 1 *
3640,BUCHA REDUCAO GALVANIZADA 1.1/2 X 3/4 *
3014,BUCHA REDUCAO GALVANIZADA 3/4 X1/2 *
1360,"CURVA GALVANIZADA 1"" MACHO *"
3117,"CURVA GALVANIZADA 1.1/2"" MACH E FEM *"
3116,CURVA GALVANIZADA 1.1/4'' MACH E FEM *
1358,"CURVA GALVANIZADA 1/2"" MACHO *"
1359,"CURVA GALVANIZADA 3/4"" MACHO *"
3418,JOELHO GALVANIZADO 45 GRAUS 1'' H MECH *
3508,JOELHO GALVANIZADO 45 GRAUS 1.1/2 *
3419,JOELHO GALVANIZADO 45 GRAUS 1/2 '' REMADI *
3420,JOELHO GALVANIZADO 45 GRAUS 3/4'' H MECH *
624,JOELHO GALVANIZADO 90 GRAUS 1'' REMADI *
625,JOELHO GALVANIZADO 90 GRAUS 1.1/2 *
626,JOELHO GALVANIZADO 90 GRAUS 1.1/4 REMADI *
627,JOELHO GALVANIZADO 90 GRAUS 1/2'' REMADI *
628,JOELHO GALVANIZADO 90 GRAUS 2''
629,JOELHO GALVANIZADO 90 GRAUS 2.1/2 *
630,JOELHO GALVANIZADO 90 GRAUS 3/4'' REMADI *
631,JOELHO GALVANIZADO REDUCAO 3/4 X 1/2 *
10937,LUVA DE REDUCAO GALVANIZADA 1'' X 1/2
711,LUVA DE REDUCAO GALVANIZADA 1'' X 3/4 *
10935,LUVA DE REDUCAO GALVANIZADA 1.1/2 X 1.1/4
10933,LUVA DE REDUCAO GALVANIZADA 2 X 1.1/2
2176,LUVA DE REDUCAO GALVANIZADA 3/4 X 1/2 (MACHO / FEMEA) *
712,LUVA DE REDUCAO GALVANIZADA 3/4 X 1/2 *
704,LUVA GALVANIZADA 1'' REMADI *
705,LUVA GALVANIZADA 1.1/2 REMADI *
706,LUVA GALVANIZADA 1.1/4'' *
707,LUVA GALVANIZADA 1/2'' *
708,LUVA GALVANIZADA 2'' *
709,LUVA GALVANIZADA 2.1/2 *
710,LUVA GALVANIZADA 3/4 *
831,NIPEL GALVANIZADO 1'' REMADI *
832,NIPEL GALVANIZADO 1.1/2 H MECH *
833,NIPEL GALVANIZADO 1.1/4 *
834,NIPEL GALVANIZADO 1/2'' *
835,NIPEL GALVANIZADO 2'' H MECH *
836,NIPEL GALVANIZADO 2.1/2 TUPY *
837,NIPEL GALVANIZADO 3/4
1100,REGISTRO DE ESFERA 1'' C/ ALAVANCA *
1098,REGISTRO DE ESFERA 1/2 C/ ALAVANCA *
1104,REGISTRO GAVETA 1510 1'' DECA *
1101,REGISTRO GAVETA 1510 1/2 DECA *
3005,TAMPAO EXTERNO (ROSCA INTERNA) GALV 1'' ( CAP GALV ) *
3006,TAMPAO EXTERNO (ROSCA INTERNA) GALV 1.1/2 ( CAP GALV ) *
3007,TAMPAO EXTERNO (ROSCA INTERNA) GALV 1.1/4'' ( CAP GALV ) *
3008,TAMPAO EXTERNO (ROSCA INTERNA) GALV 1/2'' ( CAP GALV ) *
3010,TAMPAO EXTERNO (ROSCA INTERNA) GALV 3/4 ( CAP GALV ) *
2999,"TAMPAO INTERNO (ROSCA EXTERNA) GALV 1"" ( PLUG OU BUJÃO ) *"
3000,TAMPAO INTERNO (ROSCA EXTERNA) GALV 1.1/2 ( PLUG OU BUJÃO )
3004,TAMPAO INTERNO (ROSCA EXTERNA) GALV 3/4'' ( PLUG OU BUJÃO )
2985,TEE GALVANIZADO 1'' *
2986,TEE GALVANIZADO 1.1/2 '' *
2987,TEE GALVANIZADO 1.1/4 *
2989,TEE GALVANIZADO 1/2'' 90 *
2350,TEE GALVANIZADO 2'' REMADI *
2990,TEE GALVANIZADO 2.1/2 '' *
2992,TEE GALVANIZADO 3/4'' *
2988,TEE GALVANIZADO 45' 1/2 *
2993,UNIAO GALVANIZADO 1'' H MECH *
2994,UNIAO GALVANIZADO 1.1/2 *
2996,UNIAO GALVANIZADO 1/2'' *
2997,UNIAO GALVANIZADO 2'' *
1799,UNIAO GALVANIZADO 2.1/2'' *
2998,UNIAO GALVANIZADO 3/4'' *
1855,FF CANTONEIRA FERRO FUNDIDO 16 CM *
2194,FF CAXILHO 10 X 100 *
2199,FF CHAPA DE FOGAO 3 FUROS *
2200,FF CHAPA DE FOGAO 4 FUROS *
123133544,FF GRELHA 100 X 10 CM *
123133549,FF GRELHA 50 X 10 CM *
1611,FF GRELHA BOCA DE LOBO 30 X 90 LEVE *
1612,FF GRELHA BOCA DE LOBO ART 30 X 90 PESADA *
1352,FF RALO 10 X 10 *
1354,FF RALO 25 X 25 COM CAXILHO
