idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
123133967,"TUBO METALON 150 X 150 X 4,75",F,9999,9999,52,GERAL,GERAL,INATIVO
303,VASSOURA JARDIM PLASTICA 22DT PR C CABO,F,9999,9999,52,GERAL,GERAL,INATIVO
3172,AL FLOREIRA TRIPE *,F,9999,9999,76,GERAL,GERAL,P.E.
123133761,CHAPA GALVANIZADA VARIAS MEDIDAS *,F,9999,9999,76,GERAL,GERAL,P.E.
123133656,CHAPA P/ LANTERNAGEM 18 = 2 MT X 30 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133943,CHAPA P/ LANTERNAGEM 20 = 2 MT X 30 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133533,FF COLUNA 110 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133532,FF COLUNA 112 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133534,"FF COLUNA C/ SAPATA 91,5 CM *",F,9999,9999,76,GERAL,GERAL,P.E.
123133535,FF COLUNA CURVA 108 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
4874,FF FLORAO N.00 *,F,9999,9999,76,GERAL,GERAL,P.E.
1138,FF FLORAO N.01 PEQUENO 36 X 15 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
1349,FF FLORAO N.02 MEDIO 42 X 15 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
1350,FF FLORAO N.03 GRANDE 58 X 34 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
3399,FF FLORAO N.05 DIADEMA *,F,9999,9999,76,GERAL,GERAL,P.E.
123133553,FF GRADE ABACAXI 81 X 14 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133775,FF GRADE ARABESCO GRANDE 137 X 54 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133805,FF GRADE ARABESCO PEQUENA 80 X 17 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133757,FF GRADE ARPA 84 X 26 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133554,FF GRADE BOMBE CURVA ESTREITA 80 X 08 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133833,FF GRADE BOMBE CURVA LARGA 80 X 24*,F,9999,9999,76,GERAL,GERAL,P.E.
123133555,"FF GRADE BOMBE RETA 82 X 24,5 CM *",F,9999,9999,76,GERAL,GERAL,P.E.
123133816,"FF GRADE ESPANHOLA 72 X 24,5 *",F,9999,9999,76,GERAL,GERAL,P.E.
123133777,FF GRADE ESTRELINHA 49 X 37 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133557,FF GRADE FLOR DE LIRIO CURVA 78 X 18 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133753,FF GRADE FLOR DE LIRIO INCLINADA 84 X 18 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133556,FF GRADE FLOR DE LIRIO RETA 79 X 18 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133875,FF GRADE FLOR DE LIZ C/01 GRAU 90 X 15 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133838,FF GRADE FLOR DE LIZ C/02 GRAUS 88 X 14 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133854,FF GRADE FLOR DE LIZ INCLINADA *,F,9999,9999,76,GERAL,GERAL,P.E.
123133558,FF GRADE FLOR DE LIZ PEQUENA 59 X 13 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133853,FF GRADE FLOR DE LIZ RETA 79 X 13 *,F,9999,9999,76,GERAL,GERAL,P.E.
123133804,FF GRADE GREGA 82 X 16CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133772,FF GRADE IMPERIAL C/ 01 GRAU 84 X 15 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133837,FF GRADE IMPERIAL C/ 02 GRAUS 82 X 16CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133859,FF GRADE IMPERIAL INCLINADA 76 X 17,F,9999,9999,76,GERAL,GERAL,P.E.
123133559,FF GRADE IMPERIAL PEQUENA 50 X 16 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133852,FF GRADE IMPERIAL RETA 78 X 15 *,F,9999,9999,76,GERAL,GERAL,P.E.
123133831,FF GRADE JACARE *,F,9999,9999,76,GERAL,GERAL,P.E.
123133560,FF GRADE OURO PRETO *,F,9999,9999,76,GERAL,GERAL,P.E.
123133773,FF GRADE OURO PRETO C/ 01 GRAU *,F,9999,9999,76,GERAL,GERAL,P.E.
123133861,FF GRADE OURO PRETO C/ 02 GRAUS *,F,9999,9999,76,GERAL,GERAL,P.E.
123133564,FF GRADE PARREIRA DE UVA *,F,9999,9999,76,GERAL,GERAL,P.E.
123133759,FF GRADE PORTUGUESA 73 X 32 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133561,FF GRADE RAMADA DUPLA 95 X 36 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133754,FF GRADE RAMADA ESTREITA 80 X 20 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133562,"FF GRADE RAMADA S/ CONTORNO 74 X 36,5 *",F,9999,9999,76,GERAL,GERAL,P.E.
123133774,FF GRADE RAMADINHA 44 X 33 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
123133785,"FF GRADE ROMANA 80,50 X 33,50 CM *",F,9999,9999,76,GERAL,GERAL,P.E.
123133563,FF GRADE ROSACEA *,F,9999,9999,76,GERAL,GERAL,P.E.
1344,FF LANCA COPO DE LEITE 17 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
1346,FF LANCA ESPADINHA 18 CM LEVE *,F,9999,9999,76,GERAL,GERAL,P.E.
1340,FF LANCA FLEXA 13 1/2 X 2 1/2 *,F,9999,9999,76,GERAL,GERAL,P.E.
1343,"FF LANCA FLOR DE LIZ 16,5 CM *",F,9999,9999,76,GERAL,GERAL,P.E.
