idsubproduto,nome_produto,n_lacunas,lacunas
1000001,PRODUTO GERAL,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1000006,ALUGUEIS,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1000012,CONHECIMENTO DE FRETE,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
10280,AGUA SANITARIA,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
10350,DENVER VERSATIL PLUS,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1092,PORTA CADEADO FG 2'' *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1107,SAIDA D'AGUA 75MM *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1108,SAIDA D'AGUA 100MM *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
11305,SILICONE PROMOÇÃO,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1136,FINCAPINO C-22 CURTO *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1175,SAIDA D'AGUA 150MM *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
12053,MAQ MIG BOXER,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
123133426,BUCHA N 12 *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
123133427,BUCHA N 14 *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
123133430,BUCHA N 8 *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
123133509,CHAPA PRETA FF 16 = 3 X 1,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
123133813,LETRA METAL C *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
123133814,LETRA METAL F *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
123133820,BUCHA N 5 *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
123133826,BUCHA CX N 4 C/400 *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1237,GONZO 1.1/4 -,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1238,GONZO 1.1/2 -,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1276,DOBRADICA C1001FG 2.1/2'' *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
