idsubproduto,nome_produto,descrsecao,descrgrupo,descrsubgrupo,descricao_produto,especificacao_tecnica,pagina_web,manual,fotos
5738,SERRA TICO TICO BU 036 MADEIRA BI METAL STARRET *,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA,"Serra Tico Tico BU 036 para madeira, bimetálica, da marca Starrett.",Tipo: Lâmina de serra Tico-Tico; Material: Aço bi-metal unique; Comprimento: 50mm (BU-214); Marca: Starrett,https://www.mercadolivre.com.br/6-laminas-serra-ticotico-bimetal-bu36-madeira-starrett/up/MLBU1964380813,https://es.scribd.com/document/415032075/Catalogo-Serras-e-Ferramentas-Manuais-Starrett-pdf,https://http2.mlstatic.com/D_NQ_NP_951726-MLB47518557287_092021-O.webp | https://cdn.dlojavirtual.com/static1/110475/sku/serras-serra-tico-tico-bi-metal-bu36-starrett-p-1739544455868.png | https://http2.mlstatic.com/D_NQ_NP_666713-MLB53057500198_122022-O-jogo-serras-tico-tico-madeira-5-lminas-75mm-3p-bu36-starret.webp
1948,SERRA TICO TICO BU 038 MADEIRA BI METAL STARRET *,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA,"Serra Tico Tico BU 038 de Madeira Bi Metal Starret, uma ferramenta de corte manual para madeira.","Tecnologia AÇO BI-METAL UNIQUE™, 8 dentes, fabricada com aço bi-metálico para maior durabilidade e desempenho.",https://www.ramosconstruir.com.br/produtos/serra-tico-tico-bu38-madeira-und-starrett/,Não encontrado,https://acdn-us.mitiendanube.com/stores/005/687/405/products/serra-8-3d1d098411b2ca996517516795857564-1024-1024.webp | https://cdn.iset.io/assets/56507/produtos/3569/serra-tico-tico-starrett-bu38-8t.jpg
1514,SERRA TICO TICO BU 214S BI METAL STARRET *,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA,"Serra Tico Tico BU 214S Bi Metal Starrett, uma ferramenta de corte manual para trabalhos de precisão.","Lâmina em bi-metal superior, 170% maior área de contato entre os metais, corte mais rápido e resistente, 14 dentes, 50mm de largura.",https://pontodassoldas.com.br/serra-tico-tico-multi-bi-metal-starrett-bu214/,Não encontrado,https://cdn.iset.io/assets/56507/produtos/3699/4.png | https://cdn.iset.io/assets/56507/produtos/3699/2.png | https://http2.mlstatic.com/D_NQ_NP_897550-MLB80096100768_102024-O-serra-tico-tico-bi-metal-com-5-pecas-50mm-starrett-bu214.webp | https://ccp.vteximg.com.br/arquivos/ids/198913-535-535/SER.-TICO-TICO-BI-MET-50MM-14D-C-5-PCS--.jpg?v=636099593437130000 | https://tfcvb6.vtexassets.com/arquivos/ids/220564/serra-tico-tico-starrett-bu214-2-bi-metal-50mm-14d-com-2-02.jpg?v=637586769528230000
2055,SERRA TICO TICO BU 224-2 BI-METAL 50MM 24D *,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA,Serra Tico Tico BU 224-2 Bi-Metal com 50mm e 24 dentes.,"50mm de largura, 24 dentes, bimetal.",https://www.copafer.com.br/serra-tico-tico-bi-metal-50mm-24-dentes---bu224---starrett/p,Não encontrado,https://protendi.com.br/wp-content/uploads/2022/03/SERRA-TICO-TICO-BI-METAL-50mm-BU224-STARRETT.jpg | https://ccp.vteximg.com.br/arquivos/ids/198904-1000-1000/SER.-TICO-TICO-BI-MET-50MM-24D-C-5-PCS--.jpg?v=636099590114370000 | https://images.tcdn.com.br/img/img_prod/694151/serra_tico_tico_bi_metal_50mm_24dentes_bu224_starrett_18757_1_20190807110317.jpg
1949,SERRA TICO TICO BU 224S BI METAL STARRET *,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA,"Serra tico tico BU 224S Bi Metal Starrett, uma ferramenta de corte precisa para trabalhos manuais e industriais.","50mm de comprimento, 24 dentes, tecnologia bimetal Unique Saw Technology",https://www.construja.com.br/produto/156198/starrett-lamina-serra-tico-tico-metal-2p-bu224s,Não encontrado,https://ccp.vteximg.com.br/arquivos/ids/198904-1000-1000/SER.-TICO-TICO-BI-MET-50MM-24D-C-5-PCS--.jpg?v=636099590114370000 | https://protendi.com.br/wp-content/uploads/2022/03/SERRA-TICO-TICO-BI-METAL-50mm-BU224-STARRETT.jpg | https://cdn.leroymerlin.com.br/products/lamina_serra_tico_tico_bi_metal_bu_224s_50mm_starret_1571498452_146f_600x600.jpg
2054,SERRA TICO TICO BU 232 BI-METAL 50MM 32D *,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA,Serra Tico Tico BU 232 Bi-Metal com 50mm e 32 dentes.,"50mm de largura, 32 dentes.",https://www.tecnoferramentas.com.br/serra-tico-tico-bi-metal-50-mm-32d-c2-starrett-bu232-2-341749_0/p,Não encontrado,https://antferramentas.vtexassets.com/arquivos/ids/181391/Lamina-Para-Serra-Tico-Tico-De-Metal-50mm-32-Dentes-2-Pecas-Starrett-BU232-2---ANT-Ferramentas-1.jpg?v=638176130871170000 | https://product-hub-prd.madeiramadeira.com.br/913402106/images/21d7650f-bbf8-4c08-be2c-4dcdca64d0e57b9662cd5b40e74b169179c54.webp | https://danpler.com.br/wp-content/uploads/2022/09/15150530794_BU232-2201.png
1947,SERRA TICO TICO BU 418 BI METAL MULTI STARRET *,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA,"Serra tico tico BU 418 Bi Metal Multi Starret, uma ferramenta de corte versátil para madeira, metal e plástico.","Dentição: 18; Comprimento: 105 mm; Largura: 9,5 mm; Espessura: 1,0 mm; Material: Aço Bi-Metal Unique",https://www.dutramaquinas.com.br/p/jogo-de-lamina-serra-tico-tico-bimetal-100-mm-com-05-pecas-bu418-bu418,Não encontrado,https://images.tcdn.com.br/img/img_prod/1413465/lamina_de_serra_tico_tico_multi_unique_18d_bu_418_20_starrett_5809_1_8333f214c53e2aaba465f8235a5c3e6b.jpeg | https://images.tcdn.com.br/img/img_prod/1413465/lamina_de_serra_tico_tico_multi_unique_18d_bu_418_20_starrett_5809_2_048ebbdd98ed5ff8ad426f9e58f16c2d.jpeg | https://cdn.leroymerlin.com.br/products/lamina_serra_tico_tico_bi_metal_bu418_100mm_starret___1571498951_f324_600x600.jpg | https://img.lojadomecanico.com.br/IMAGENS/37/426/91867/Lamina-de-Serra-Tico-Tico-Bi-Metal-Uniqu-starrett-bu418-23.JPG | https://img.lojadomecanico.com.br/IMAGENS/37/426/91867/Lamina-de-Serra-Tico-Tico-Bi-Metal-Uniqu-starrett-bu418-21.JPG
11973,KIT CHURRASQUEIRA PREMIUM 4,ACESSORIO/MIUDEZA,FERRAMENTAS,KIT PROMO,"Kit Churrasqueira Premium 4, conjunto de utensílios para churrasco de alta qualidade.","Material da Estrutura: 100% Aço Inox, Acionamento: Elétrico (Kit Giratório) / Manual (Elevatório), Grelha: Parrilla Argentina ou Uruguaia, Modelo: 4 Espetos, Largura: 60 cm, Profundidade sem motor: 50 cm, Profundidade com Motor: 62 cm, Altura: 47 cm, Motor: Weg 1/30 HP Bivolt, Chaveado: Bivolt (127V ou 220V)",https://www.magazineluiza.com.br/kit-churrasqueiro-4-pecas-ferramentas-para-churrasco-zonne/p/gf5197k4eg/ud/cjxu/,https://www.lojarefracon.com.br/manuais/Catalogo_Churrasqueira_Carvao_Premium.pdf,
11969,KIT FERRAMENTAS PROFISSIONAIS 1,ACESSORIO/MIUDEZA,FERRAMENTAS,KIT PROMO,"Kit de ferramentas profissionais, composto por várias peças para uso em reparos e manutenções.","150 peças em aço cromo vanádio, acabamento polido niquelado, maleta termoplástica resistente, inclui soquetes sextavados, chaves combinadas, catracas, extensões e bits.",https://www.ferramentaskennedy.com.br/kit-de-ferramentas-manuais-profissional-com-150-pecas-sata-112495/p,Não encontrado,https://down-br.img.susercontent.com/file/br-11134207-7r98o-lw0u7zpsahea95 | https://cf.shopee.com.br/file/sg-11134201-22110-kcxfg6gezljv44 | https://down-br.img.susercontent.com/file/br-11134207-7r98q-llxhcwx35lo6c4
11971,KIT FERRAMENTAS PROFISSIONAIS 2,ACESSORIO/MIUDEZA,FERRAMENTAS,KIT PROMO,"Kit de ferramentas profissionais, composto por diversos itens para uso em reparos e manutenções.",,https://lista.mercadolivre.com.br/kit-ferramenta-profissional,https://www.sataferramentas.com.br/sites/sata_brazil/files/2024-08/CATALOGO_SATA_2024_DIGITAL_BR-compactado.pdf,https://images-cdn.a.ubuy.com.kw/65b3b17b1900f134b56eab53-professional-max-drill-tool-set-complete.jpg | https://cf.shopee.com.br/file/sg-11134201-22110-kcxfg6gezljv44 | https://falconibrindes.com.br/wp-content/uploads/2023/07/kit-ferramenta-para-brindes.jpg
