idsubproduto,nome_produto,descrsecao,descrgrupo,descrsubgrupo,descricao_produto,especificacao_tecnica,pagina_web,manual,fotos
10033,BOTA TESTE 44,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,ABRACADEIRA,"A Chave Sextavada 44mm Pivô 143003 Raven é uma ferramenta essencial para profissionais da área automotiva, projetada para manutenção e reparo de pivôs dianteiros em veículos como Citroen Jumpy, Peugeot Expert e Fiat Scudo.","Encaixe: 44mm, 1/2"". Aplicação: Citroen Jumpy após 2017, Peugeot Expert após 2017, Fiat Scudo após 2022. Cantos arredondados, cabo longo.",https://www.coremma.com.br/chave-sextavada-44mm-pivo-143003-raven-100109-143003,Não encontrado,https://coremma.magehub.com.br/media/catalog/product/c/h/chave-sextavada-44mm-pivo-143003-raven-100109-143003.jpg
10600,TESOURA P/CORTAR CHAPA N.3,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA,"Tesoura para cortar chapa de aço, modelo N.3, com cabo ergonômico para maior conforto durante o uso.","Número: 3, Espessura de corte: 1/8"" (3,2 mm), Marca: MetalSul",https://www.lojadomecanico.com.br/produto/19656/24/239/tesoura-corta-chapa-n-3--com-cabo-metalsul-mcc110,Não encontrado,https://gilferferramentas.com.br/image/cache/catalog/PRODUTOS/SOMAR/tesoura%20somarr-700x700.jpg | https://gilferferramentas.com.br/image/cache/catalog/PRODUTOS/SOMAR/tesoura%202-700x700.jpg
10602,TESOURA P/CORTAR CHAPA N.4,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA,"Tesoura para cortar chapa metálica, ideal para cortes retos em aço, inox e alumínio, com design profissional para uso em serralheria.","Corte reto, adequada para chapas metálicas, aço, inox e alumínio, tamanho 10 polegadas.",https://lista.mercadolivre.com.br/tesoura-de-cortar-chapa-n4-mtc-04-motomil,Não encontrado,https://a-static.mlcdn.com.br/206x137/cortador-de-chapa-snel-ferramentas-original-ferramenta-profissional-para-corte-de-chapa-metalica-aco-inox-e-aluminio-ideal-para-serralheiro/snelferramentasoficial/26565/7791f6e8e533c6e8677387e25714ce56.jpeg | https://i.ytimg.com/vi_webp/vrv3sveO050/maxresdefault.webp
10604,TESOURA P/CORTAR CHAPA N.5,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA,"Tesoura para cortar chapa N.5, ideal para cortes retos e curvos em chapas metálicas. Disponível em diferentes marcas e modelos.","Expessura máxima: 5,0 mm, Comprimento da lâmina: 290 mm, Dimensões (AxCxL): 44 x 10 x 51 cm, Peso: 18,0 kg",https://www.magazineluiza.com.br/busca/tesoura+cortar+chapa+n+5/,Não encontrado,https://a-static.mlcdn.com.br/206x137/maquina-de-cortar-chapa-n-5-tesoura-guilhotina-16994-metalcava-000244/royalmaquinas/40775/1b89a2a569f62dc306c4d0d2053bd764.jpeg | https://a-static.mlcdn.com.br/206x137/tesoura-corta-chapa-n5-com-cabo-metalsul/ferragensfenixltda/3099112002/e8de315a5f1241367a1a3a3dd18703e7.jpeg
10128,CHUMBADORQ. BICOMPONENTEAMPOLA12MM KIT,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"O Chumbador Químico Bicomponente Ampola 12mm Kit é um produto utilizado para fixação em construções, composto por resina, quartzo e catalizador. Ideal para aplicações que exigem alta resistência e precisão.","Material: resina, quartzo e catalizador; Diâmetro: 12mm; Aplicação: fixação em construções; Resistência: alta; Precisão: elevada",https://www.fischerbrasil.com.br/pt-br/produtos/chumbadores-quimicos,Não encontrado,
11863,CHUMBADORQ. BICOMPONENTEAMPOLA16MM KIT,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"O Chumbador Químico RB é uma ampola de vidro bi-componente, fornecida com haste roscada chanfrada, porca, arruela e contra-porca. Ideal para fixação em concreto, rocha e outros materiais, oferecendo alta capacidade de tração e cisalhamento.",Alta capacidade de tração e cisalhamento; Alto desempenho em locais que sofrem vibrações; Fácil instalação; Pode ser utilizado em locais úmidos ou submersos; Rápido tempo de cura.,https://www.rockbolt.com.br,Não encontrado,
10910,LUVA FIBRA SINTETICA FLEX CUT M9 - WURTH,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de fibra sintética com proteção contra cortes, modelo Flex Cut M9 da marca Wurth.",Não encontrada,Não encontrado,Não encontrado,
10120,LUVA FLEX TUFF 701014 M8,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva Flex Tuff modelo 701014, tamanho M8. Luva de trabalho resistente e flexível.",Não encontrado,Não encontrado,Não encontrado,
11233,LUVA NITRILICA LARANJA DIAMOND TAM.9,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva nitrílica laranja Diamond, tamanho 9.",Não encontrado,Não encontrado,Não encontrado,
10118,LUVA POLIEST LATEX CORRUGADA PRETA 9,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de mão poliester latex corrugada preta, tamanho 9, da marca Wurth.",Material: poliester latex; Cor: preta; Tamanho: 9; Tipo: corrugada.,Não encontrado,Não encontrado,https://a-static.mlcdn.com.br/450pxx450px/luva-de-mao-poliest-latex-corrugada-preta-t-09-wurth/imaggi/340010/3bbf084c8d5d6df8e4cef7415ed6e572.jpeg | https://down-br.img.susercontent.com/file/br-11134207-7r98o-m5htek7b9n5x38 | https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/luva-poliest-latex-ccorrugada-preta-9-wurth/planaltosul/13375/807260c84cb6955d8a3a0464fbe6cbc0.jpeg
10122,LUVA POLIEST NITRIL CINZA 9,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de proteção feita de poliéster e nitrila, na cor cinza, tamanho 9. Indicada para uso em ambientes industriais e de limpeza, oferecendo resistência a agentes químicos e biológicos.",Material: Poliéster e nitrila; Cor: Cinza; Tamanho: 9; Tipo: Sem pó; Ambidestra; Resistente a agentes químicos e biológicos; Certificação: EN ISO 374-1:2016.,Não encontrado,Não encontrado,https://a-static.mlcdn.com.br/450pxx450px/luva-poliester-nitrilica-cinza-9-wurth/plamacolmateriaisdeconstrucao/268052/dc588dc17ac5c5f01d023a9f0766cff5.jpeg | https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/luva-poliester-nitrilica-cinza-9-wurth/plamacolmateriaisdeconstrucao/268052/abf92991934b3431a4a6101b2d5b251f.jpeg | https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/luva-poliester-nitrilica-cinza-9-wurth/plamacolmateriaisdeconstrucao/268052/80643f0641ac848656457203503a5c00.jpeg
10124,LUVA POLY PU BLACK 701026 GG10,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança em poliuretano (PU) com revestimento têxtil, oferecendo resistência mecânica, especialmente à abrasão, e proteção contra óleos, graxas e solventes. Ideal para montagem, manutenção e manuseio de peças pequenas.","Revestimento: Poliuretano (PU); Material de suporte: Têxtil; Resistência mecânica: Alta, especialmente à abrasão; Resistência química: Óleos, graxas e solventes; Resistência térmica: Baixa, especialmente ao calor.",https://volkdobrasil.com.br/,Não encontrado,"https://static.wixstatic.com/media/2feb9d_7722249b3d7b4faf816903a83cca8a44~mv2.jpg/v1/fill/w_440,h_456,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/2feb9d_7722249b3d7b4faf816903a83cca8a44~mv2.jpg | https://cdn.dooca.store/3118/products/pu-preta-2.jpg?v=1641496472&webp=0"
